Subject,Category Check Item,New Category,English,Category Check Items,Criteria,DRI,ISO條文,VDA條文,Type
Man,A0101,"Training / Certificate
訓練 / 認證",Training / Certificate,"Training Schedule
訓練排程","If you have established all year or all quarter exercise plan an execute in sure?
是否有制定整年度或季度的訓練計劃並確實在實施?",HR,ISO 7.2,,A01
Man,A0102,"Training / Certificate
訓練 / 認證",Training / Certificate,"Training Material
訓練教材","Does the training exercise have teaching material?
教育訓練是否備有教材?",HR,IATF 7.2.1,,A01
Man,A0103,"Training / Certificate
訓練 / 認證",Training / Certificate,"Training Material
訓練教材","Defective visual aid material, training material shall be reviewed or updated periodically.
缺點目視輔助教材、訓練教材須定期被審查或更新。",HR,IATF 7.2.1,,A01
Man,A0104,"Training / Certificate
訓練 / 認證",Training / Certificate,"Personnel Certified
人員認證","Whether the instructor has accepted the training?
講師是否受過訓練?(EX:訓練指導員/大姐姐 etc...)",HR,ISO 7.2,,A01
Man,A0105,"Training / Certificate
訓練 / 認證",Training / Certificate,"Personnel Certified
人員認證","Personnel shall be well trained and available training records.
人員須有良好的訓練及有效的訓練紀錄。",HR,IATF 7.2.2,,A01
Man,A0106,"Training / Certificate
訓練 / 認證",Training / Certificate,"Working Instruction
作業指示書","Personnel shall know how to open and use the related manufacturing system. (SPEC / SPC / MES / EMS etc…)
人員須知道如何打開和使用製造相關應用系統。(SPEC / SPC / MES / EMS etc…)",HR,IATF 7.2.1,,A01
Man,A0107,"Training / Certificate
訓練 / 認證",Training / Certificate,"Working Instruction
作業指示書","Personnel shall easily find out operation process or data of the station.
人員能輕易地找出當站的作業流程或資料。",MFG,IATF 7.2.1,,A01
Man,A0108,"Training / Certificate
訓練 / 認證",Training / Certificate,"Product Design Skills
產品設計技能","Weather engineer have ability to handling product and process? Engineers handle automotive/ functional safety/ cybersecurity products should also have ability to meet requirement.
業務相關人員(直接/間接)是否有能力符合產品及製程上的需求？負責車用產品/ 安全性產品之人員亦需具備車用產品/ 功能安全/ 網宇安全產品之能力需求。",HR,IATF 7.2.1,,A01
Man,A0109,"Training / Certificate
訓練 / 認證",Training / Certificate,"Handing Skill
操作技能","New personnel (without qualification ) can't operate the machine alone.
新進人員(尚未認證)操作機台須有資深人員陪同不可單獨操作機台。",MFG,IATF 7.2.2,,A01
Man,A0110,"Training / Certificate
訓練 / 認證",Training / Certificate,"Handing Skill
操作技能","Personnel shall operate with the work flow familiarly. Ex: Machine handling, product inspection, customer special request.
人員必須熟練其作業流程。例如：機台操作、產品檢驗、客戶特殊需求。",MFG,IATF 8.5.4.1,,A01
Man,A0111,"Training / Certificate
訓練 / 認證",Training / Certificate,"Certificated
資格認證","Personnel shall have qualification certificate of the station, EHS, automotive/functional safety/ cybersecurity, ESD, security or customer special request when operating the machine.?
人員 操作當站機台 須有當站、一般環安衛、車用/ 功能安全/ 網宇安全、ESD、資安或客戶特殊需求的資格/能力認證或評鑑…等；且須在有效期限內。",MFG,IATF 7.2.2,,A01
Man,A0112,"Training / Certificate
訓練 / 認證",Training / Certificate,"Certificated
資格認證","Personnel qualification certificate or training record shall be prior to expiration date.
人員資格卡或訓練紀錄須在有效期限內。",HR,IATF 7.2.1,,A01
Man,A0113,"Training / Certificate
訓練 / 認證",Training / Certificate,"Special Certificated
特殊認證","Whether you will execute to supervise again aiming at the member that can't contact his origin job for a long time or work efficiency is very low?
對於許久未接觸原來工作或有品質重大異常之人員工作效率較差之人員，是否實施再鑑定?",HR,IATF 7.2.2,,A01
Man,A0114,"Training / Certificate
訓練 / 認證",Training / Certificate,"Continuous improvement
持續改善","Training effectiveness is analyzed and improved.
訓練的有效性有被分析且依據分析結果去改善訓練成效。",HR,IATF 7.2.1,,A01
Man,A0115,"Training / Certificate
訓練 / 認證",Training / Certificate,"ATV certificate
車用人員認證","Operator run automotive / functional safety/ cybersecurity products should be certified by automotive training with training record and check the awareness of? automotive / functional safety/ cybersecurity. (e.g. Quality policy card)
負責生產車用/ 功能安全/ 網宇安全產品的作業人員，一定要通過車用認證訓練且有訓練紀錄，並確認人員具有相對應的品質車用/ 功能安全/ 網宇安全意識 (例如：品質政策小卡)。",HR,IATF 7.2.2,,A01
Machine,A0201,"Equipment Buy-off
設備驗收",Equipment Buy-off,"Buy-off and Release Procedure
驗收和放行流程","Shall have the buy-off and release methodology and criteria defined in specification for equipment / tooling / inspection equipment. (Normal, automotive and functional safety/ cybersecurity are covered.)
驗收及放行設備/ 模具/檢驗儀器的方法及規格須被定義在規範中。(包含一般、車用以及功能安全與網宇安全)",EE,IATF 7.1.3.1,,A02
Machine,A0202,"Equipment Buy-off
設備驗收",Equipment Buy-off,"Buy-off and Release Record
驗收和放行紀錄","Shall have the related record and evidence of equipment / tooling / inspection equipment buy-off and release. (Normal, automotive and functional safety/ cybersecurity are covered.)
設備/模具/檢驗儀器須有驗收及放行的紀錄及佐證。(包含一般、車用以及功能安全與網宇安全)",EE,IATF 7.1.3.1,,A02
Machine,A0203,"Equipment Buy-off
設備驗收",Equipment Buy-off,"Equipment Re-layout
?機台重新配置","Shall have the buy-off and release methodology and criteria? defined in specification and execute record when equipment re-layout. (Normal, automotive and functional safety/ cybersecurity are covered.)
當設備重新配置時，驗收及放行方法及規格須被定義在規範中且有執行紀錄。(包含一般、車用以及功能安全與網宇安全)",EE,IATF 7.1.3.1,,A02
Machine,A0301,"PM
保養",PM,"PM Procedure
保養流程","Equipment / tooling/ inspection equipment shall have the maintenance methodology, criteria and abnormal handling defined in specification.
設備/模具/檢驗儀器的保養方法、規格及異常處置須被定義在規範中。",EE,IATF 8.5.1.5,,A03
Machine,A0302,"PM
保養",PM,"PM Schedule
保養排程","Shall follow each maintenance interval (Ex. Weekly, bi-weekly, quarterly, semi-annual and yearly) to set up schedule for equipment / tooling/ inspection equipment? maintenance.
要依各保養週期 (週、雙週、月、季、半年、年) 訂立設備 / 模具/檢驗儀器的保養排程。",EE,IATF 8.5.1.5,,A03
Machine,A0303,"PM
保養",PM,"Auto Hold
自動停機","Equipment shall have auto notification and machine shutdown control.
設備須有自動通知和機台停機管控。",EE,IATF 8.5.1.5,,A03
Machine,A0304,"PM
保養",PM,"PM Execute
保養執行","Regulative maintenance items shall be executed maintenance and inspection periodically.
規定的保養項目，須依其項目確實執行保養及檢查。",EE,IATF 8.5.1.5,,A03
Machine,A0305,"PM
保養",PM,"Spare Parts
備用零件","Shall be availability of replacement parts for key manufacturing equipment.
關鍵製造設備的更換零件須備妥。",EE,IATF 8.5.1.5,,A03
Machine,A0306,"PM
保養",PM,"PM Record
保養紀錄","Maintenance records shall be sure to correspond with the definition. (Ex. PM item, maintenance schedule, maintenance result, machine No., S/N No., abnormal handling result and etc.)
保養記錄須確實，並符合定義。(例如:保養項目、保養週期、保養結果、機台編號、序號及異常處置等等...)",EE,IATF 8.5.1.5,,A03
Machine,A0307,"PM
保養",PM,"PM Label
保養標籤","The information and date in maintenance stickers shall be correct.
PM標籤上的資訊及日期須是正確的。",EE,IATF 8.5.1.5,,A03
Machine,A0308,"PM
保養",PM,"Predictive Maintenance
預測性維護","Shall collect the related data of equipment abnormal cause and correction.
須收集設備異常原因及改善的資料。",EE,IATF 8.5.1.5,,A03
Machine,A0309,"PM
保養",PM,"Predictive Maintenance
預測性維護","EE should utilize predictive maintenance methods to continually improve the effectiveness of its preventive system.
EE應利用預知性維護方法以持續改進其預防系統的有效性。",EE,IATF 8.5.1.5,,A03
Machine,A0310,"PM
保養",PM,"Equipment Status
機台狀態","Clearly indicate machine's status (Ex. Maintenance, repair or unloaded setting, and etc.) and inspect if machine's indicators are in consistence.
明確標示機台狀態 (例如：保養、維修或設定中...等)，並檢視機台指示燈一致。",EE,IATF 8.5.1.5,,A03
Machine,A0311,"PM
保養",PM,"Equipment Indicator
機台標示","The instrument's indicators and specification shall be the same.
儀錶標示需與規範須一致。",EE,IATF 8.5.1.5,,A03
Machine,A0312,"PM
保養",PM,"Equipment Alarm Function
機台警示功能","The alarm system of machine is working normally.
機台的警報機制正常。",EE,IATF 8.5.1.5,,A03
Machine,A0401,"Tooling Management
治具管理",Tooling Management,"Tooling Management Procedure
治具管理流程","Tooling, parts and gauge shall have the management methodology defined in specification.
模具、零件及治具的管理方法須被定義在規範中。",EE,IATF 8.5.1.6,,A04
Machine,A0402,"Tooling Management
治具管理",Tooling Management,"Tooling System Management
治具系統管理","Clearly status for tooling, parts and gauge indicated in tooling system. (Ex: Maintenance, repair, unloaded setting, set up, number, life time, and etc.)
模具、零件及治具的狀態有清楚呈現在管理系統。 (例如： 保養、維修、下載、架機、 數量、壽命等等...)",EE,IATF 8.5.1.6,,A04
Machine,A0403,"Tooling Management
治具管理",Tooling Management,"Tooling Traceability
治具追溯","The type of tooling, parts and gauge shall be shown in WI or travel.
模具、零件及治具的種類須被顯示在WI 或路單。",EE,IATF 8.5.1.3,,A04
Machine,A0404,"Tooling Management
治具管理",Tooling Management,"Tooling Indicator
治具標示","Shall have identification method on tooling, parts and gauge. (Ex: Barcode label, Label, board and etc.
模具、零件及治具上須有識別的方法。(例如:條碼標籤,標籤,標示牌等等…)",EE,IATF 8.5.1.6,,A04
Machine,A0405,"Tooling Management
治具管理",Tooling Management,"Tooling Maintenance
治具維護","Related tooling, parts or gauge shall be changed, repaired, or cleaned according to the specification. (Ex: blade, ejector, rubber tip, mold and etc.)
模具、零件及治具須依據規定執行更換、維修或清潔。(例如：切割刀、頂針、吸嘴、模具等等...)",EE,IATF 8.5.1.6,,A04
Machine,A0406,"Tooling Management
治具管理",Tooling Management,"Tooling Record
治具紀錄","Shall have the related records of tooling, parts or gauge. (Ex. change record, repair record, clean record, quality verified record and etc..)
模具、零件及治具須有相關的紀錄。(例如: 更換紀錄, 維修紀錄, 清潔記錄, 品質確認紀錄等等...)",EE,IATF 8.5.1.6,,A04
Machine,A0407,"Tooling Management
治具管理",Tooling Management,"Tooling Management
治具管理","The tooling, parts and gauge shall be placed in order without mess.
模具、零件及治具要依規定擺放且不可雜亂。",EE,IATF 8.5.1.6,,A04
Machine,A0501,"Calibration
校正",Calibration,"Calibration Procedure
校正流程","Shall have the process employed for the calibration of production machine/measuring machine/calibration standard is defined including details of equipment type, unique identification, location, frequency of calibration, calibration methods, acceptance criteria and the action to be taken when results are unsatisfactory.
必須有界定生產機台/量測機台/校正標準件的校正作業程序包含：設備型式、 特定識別、 位置、 檢核頻率、 檢核方法、 允收準則、 矯正措施。",LAB,IATF 7.1.5.2.1,,A05
Machine,A0502,"Calibration
校正",Calibration,"Calibration Schedule
校正排程","Shall follow each calibration interval (Ex. bi-weekly, seasonal, semi-annual and yearly) to set up schedule for Production machine/measuring machine/calibration standard.
要依各校正週期 (月、季、半年、年) 訂立生產機台/量測機台/校正標準件校正排程。",LAB,IATF 7.1.5.2.1,,A05
Machine,A0503,"Calibration
校正",Calibration,"Calibration Label
校正標籤","Production machine/measuring machine/calibration standard shall? adhere to available label, then the information and date of label shall be correct. (Ex. Calibration sticker, For Indication Only sticker, Void Calibration not for use sticker, Limited use sticker, Calibration void if seal broken sticker and etc.)
生產機台/量測機台/校正標準件須有貼合適的校正標籤，且標籤上的資訊及日期是正確的。(例如:合格標籤、免校正標籤、停用標籤、限用標籤封籤等等...)",LAB,IATF 7.1.5.2.1,,A05
Machine,A0504,"Calibration
校正",Calibration,"Auto Hold
自動停機","Equipment shall have auto notification and machine shutdown control.
設備須有自動通知和機台停機管控。",LAB,IATF 7.1.5.2.1,,A05
Machine,A0505,"Calibration
校正",Calibration,"Calibration Execute
校正執行","Regulative calibration items shall be executed calibration and correction periodically.
規定的校正項目，須依其項目確實執行校正或校準。",LAB,IATF 7.1.5.2.1,,A05
Machine,A0506,"Calibration
校正",Calibration,"Calibration Standard Storage
校正標準件的存放","Are the reference devices (standard equipment) used for base-point calibrations (0 point, maker's scale, etc.) ,measuring equipment, tools, and jigs correctly stored, managed and calibrated to NIST standards??
是否對用來作基準校正用的標準設備、測量設備、工裝、夾具作正確的存放與管理?",LAB,IATF 7.1.5.2.1,,A05
Machine,A0507,"Calibration
校正",Calibration,"Calibration Fool Proof
校正防呆","Are measuring equipment safeguarded from unauthorized adjustment or re-adjustment?
所有的設備是否有保護措施以防止未經許可的調整？",LAB,IATF 7.1.5.2.1,,A05
Machine,A0508,"Calibration
校正",Calibration,"Improvement Action
改善行動","Is there a process for disposition if product has been built/tested with equipment found to be out of calibration?
當設備校驗發現異常時，是否有流程對此設備檢測的產品進行處理?",LAB,IATF 7.1.5.2.1,,A05
Machine,A0509,"Calibration
校正",Calibration,"Calibration Record
校正紀錄","In modification reports of production machine / measuring machine / calibration standard, the calibration result shall be passed and covered the usage range, then machine can be operated.
生產機台/量測機台/校正標準件的校正報告資料中，校正結果必須為通過且包含使用範圍，機台才能作業。",LAB,IATF 7.1.5.2.1,,A05
Machine,A0510,"Calibration
校正",Calibration,"Golden Unit / Standard
標準件","Availability of golden unit and correlation unit.
有效的校正標準件。",LAB,IATF 7.1.5.2.1,,A05
Machine,A0511,"Calibration
校正",Calibration,"Golden Unit / Standard
標準件","Calibration standards shall be controlled by serial numbers.
校正標準件要作序號管制。",LAB,IATF 8.5.1.6,,A05
Machine,A0601,"MSA
測量系統分析",MSA,"MSA Procedure
測量系統分析流程","Shall have MSA methodology, criteria and abnormal handling defined in specification.
MSA的方法、規格及異常處置需要被定義在規範中。",LAB,IATF 7.1.5.1.1,,A06
Machine,A0602,"MSA
測量系統分析",MSA,"MSA /GR&R? Schedule
測量系統分析的排程","Shall follow each MSA/GR&R (Ex. bi-weekly, seasonal, semi-annual and yearly) to set up schedule for measuring machine, inspection equipment.
要依各MSA/GR&R週期 (月、季、半年、年) 訂立量測機台/檢驗設備的MSA/GR&R排程。",LAB,IATF 7.1.5.1.1,,A06
Machine,A0603,"MSA
測量系統分析",MSA,"Auto Hold
自動停機","Auto notification and machine shutdown control.
自動通知和機器停機控制。",LAB,IATF 7.1.5.1.1,,A06
Machine,A0604,"MSA
測量系統分析",MSA,"MSA/GR&R Report
MSA /GR&R 報告","Measuring equipment should have MSA/GR&R records.
量測設備必須有MSA/GR&R的報告。",LAB,IATF 7.1.5.1.1,,A06
Machine,A0605,"MSA
測量系統分析",MSA,"MSA/GR&R Sticker
MSA /GR&R 標籤","Measuring equipment should attached MSA/GR&R sticker, the information in MSA/GR&R stickers shall be correct, also the date of MSA/GR&R sticker shall be within regulative period.
量測設備必須有MSA/GR&R的標籤，標籤上的資訊須是正確的，且MSA/GR&R標籤之日期須在規定的期限內。",LAB,IATF 7.1.5.1.1,,A06
Machine,A0606,"MSA
測量系統分析",MSA,"Improvement Action
改善行動","Does any action take when GR&R over or near 10%?
當GR&R值超出或在邊緣規格時，是否有計畫改善行動與執行? ",LAB,IATF 7.1.5.1.1,,A06
Material,A0701,"Protection / Storage
防護 / 儲存",Protection / Storage,"Protection when transporting material
材料運送時的防護","Protective method shall be defined for the characteristics of the product / material packing and transportation.
針對產品/材料之特性應定義包裝及運送的防護方法。",PE,IATF 8.5.4.1,,A07
Material,A0702,"Protection / Storage
防護 / 儲存",Protection / Storage,"Protection when transporting material
材料運送時的防護","Shall use an applicable conveyance.
須使用適當的運送工具。",MFG,IATF 8.5.4.1,,A07
Material,A0703,"Protection / Storage
防護 / 儲存",Protection / Storage,"Protection when transporting material
材料運送時的防護","Packing and transportation handling operation of product / material shall be aligned specification definition.
產品/材料的包裝及運送動作應符合規範之定義。",MFG,IATF 8.5.4.1,,A07
Material,A0704,"Protection / Storage
防護 / 儲存",Protection / Storage,"Material storage environment and method
材料儲存的環境管理","Storage conditions of product / material shall be defined in specification.
產品/材料的儲存條件應被定義在規範中。",PE,IATF 8.5.2.1,,A07
Material,A0705,"Protection / Storage
防護 / 儲存",Protection / Storage,"Material storage environment and method
材料儲存的環境管理","The environment conditions of product / material storage shall be monitored and be recorded. (Ex. The N2 cabinet/dry box/refrigerator)
儲存產品/材料的環境條件應被監控及記錄。(例如：氮氣櫃/乾燥箱/冰箱...)",MFG,ISO 8.5.4,,A07
Material,A0706,"Protection / Storage
防護 / 儲存",Protection / Storage,"Material storage environment and method
材料儲存的環境管理","There are alarm system then storage condition out of control.
儲存的條件如果超出管制，有警示系統。",MFG,IATF 8.5.4.1,,A07
Material,A0707,"Protection / Storage
防護 / 儲存",Protection / Storage,"Material storage environment and method
材料儲存的環境管理","Shall have nonconforming product/material handling procedure when product/material affected by out of environment spec conditions.
當環境異常而影響產品/材料時，應有不符合產品及材料異常處理。",PE,IATF 8.5.4.1,,A07
Material,A0801,"Identify / Traceability
識別 / 追朔",Identify / Traceability,"Identification marking of material
材料的識別","Shall identify the type, lot no., Mfg date and expire date in material.
可識別出材料的名稱、Lot No.、製造日期及有效期限 。",MFG,IATF 8.5.4.1,,A08
Material,A0802,"Identify / Traceability
識別 / 追朔",Identify / Traceability,"Identification marking of material
材料的識別","Shall have clear indicators and be in proper order in material placement area. (Ex. good/ nonconforming, Green/ non-Green, ULA/ non-ULA, Passed area, thawing or stabilizing area and etc.)
材料擺放區須有清楚標示並依規定擺放。(Ex. 良品/ 不良品、綠色/ 非綠色、ULA/ 非ULA、Pass 區、回濕或回冰區等等...)",MFG,IATF 8.5.2.1,,A08
Material,A0803,"Identify / Traceability
識別 / 追朔",Identify / Traceability,"Identification marking of material
材料的識別","Shall record the used material during operation while inquiring the form record and MES system. (Ex. epoxy, flux, compound, solder ball, and etc.)
查詢表單記錄及MES系統須確實紀錄作業時所使用的材料(如 epoxy, flux, compound, solder ball....)",MFG,IATF 8.5.2.1,,A08
Material,A0804,"Identify / Traceability
識別 / 追朔",Identify / Traceability,"There is deadline control for material
材料的期限管理","There is system control for material. (Ex. MES system, SAP system, bar-code system and etc.)
材料有利用系統管理。(例如: MES system, SAP system, bar-code system and etc.) ",MFG,ISO 8.5.2,,A08
Material,A0805,"Identify / Traceability
識別 / 追朔",Identify / Traceability,"There is deadline control for material
材料的期限管理","Shall assess the condition of material in stock regularly.
有定期檢查庫存材料的狀況。",MFG,IATF 8.5.4.1,,A08
Material,A0806,"Identify / Traceability
識別 / 追朔",Identify / Traceability,"There is deadline control for material
材料的期限管理",There is FIFO control for material.材料有先進先出管理。,MFG,IATF 8.5.4.1,,A08
Material,A0807,"Identify / Traceability
識別 / 追朔",Identify / Traceability,"There is deadline control for material
材料的期限管理",Materials shall be monitored to be thawed and stabilized? and also be recorded.材料需依規定執行回濕或回溫的控制及記錄。,MFG,IATF 8.5.1.2,,A08
Material,A0808,"Identify / Traceability
識別 / 追朔",Identify / Traceability,"There is deadline control for material
材料的期限管理","If the material is over due, it shall be held in system.若材料過期時，應被停止作業於系統。",MFG,IATF 8.5.4.1,,A08
Material,A0809,"Identify / Traceability
識別 / 追朔",Identify / Traceability,"There is deadline control for material
材料的期限管理","If the material is over due, it shall be handled by over due material operation procedure.
所有使用的材料(如 epoxy, flux, compound, solder ball....)若是過期時，應依不符合材料處置措施作業。",MFG,IATF 8.5.2.1,,A08
Material,A0810,"Identify / Traceability
識別 / 追朔",Identify / Traceability,"There is Q-time control for material
材料的Q-time 管理","Life time and queue time control of product / material shall be defined in specification.
產品/材料的有效壽命/留置時間的管控程序應定義於規範中。",PE,IATF 8.5.4.1,,A08
Material,A0811,"Identify / Traceability
識別 / 追朔",Identify / Traceability,"There is Q-time control for material
材料的Q-time 管理","There is system control for life time and queue time of product / material. (Ex. MES system, SAP system, bar-code system and etc.)
有利用系統管控產品/材料的有效壽命/留置時間。(例如：MES system, SAP system, 條碼系統及警示系統等等...) ",PE,IATF 8.5.4.1,,A08
Material,A0812,"Identify / Traceability
識別 / 追朔",Identify / Traceability,"There is Q-time control for material
材料的Q-time 管理","If life time and queue time of product / material out of the required time, there is a suitable OCAP be implemented.
若產品/材料的有效壽命/留置時間超出所要求的時間，有適合的OCAP可被執行。",PE,IATF 8.5.2.1,,A08
Method,A0901,"Control Plan
管制計劃",Control Plan,"Product Flow
產品流程","Control plan shall list all process/stage with actual product flow and make sure it is aligned with process flow chart defined in spec.
管制計劃應列出所有產品實際作業的站點/流程並確保跟文件上定義的流程圖一致。",PE,IATF 8.5.1.1,,A09
Method,A0902,"Control Plan
管制計劃",Control Plan,"Only qualified machine put in control plan
只有合格的機器放在管制計劃","Control plan shall list qualified equipment/machines type.
管制計劃應列出合格的設備/機器型號。",PE,IATF 8.5.1.1,,A09
Method,A0903,"Control Plan
管制計劃",Control Plan,"Only qualified materials (BOM) put in control plan (for customer specific control plans)
只有合格的材料清單(BOM) 定義於管制計劃（針對客戶特定管制計劃）","Control plan should list qualified BOM per specific customer specific control plan.
管制計劃應列出客戶特定的合格物料清單。",PE,IATF 8.5.1.1,,A09
Method,A0904,"Control Plan
管制計劃",Control Plan,"Critical Item checked/monitored
重要項目被確認/監控","Critical monitoring items and functional safety/ cybersecurity items need to be defined in the control plan.
重要監控項目及功能安全與網宇安全項目有被定義在管制計劃。",PE,IATF 8.3.3.3,,A09
Method,A0905,"Control Plan
管制計劃",Control Plan,"Customer requirement
客戶要求","Customer requirement defined in specification and followed.
客戶的要求有被定義及執行。",PE,IATF 8.5.1.1,,A09
Method,A0906,"Control Plan
管制計劃",Control Plan,"Dedicated control plan
專用管制計劃","Some customers request dedicated control plan for them to be defined in specification.
客戶專用管制計劃的要求有被定義在規範中。",PE,IATF 8.5.1.1,,A09
